=== EXPERIMENT 15 STARTED AT 2026-01-13 10:33:52.204759 ===
Population size: 20
Data file: /home/bazzo/Scrivania/fjsp_rescheduling/results_scheduling/schedule_simulation_15.pkl
--------------------------------------------------------------------------------

Jobs: 10
Machines: 7
Ops per job: [3, 2, 3, 3, 3, 3, 3, 3, 3, 3]
Starting NSGA-II.
Population: 20
Crossover rate: 0.8, Mutation rate: 0.1
==========================================================================================
n_gen  |  n_eval  | n_nds  |     cv_min    |     cv_avg    |      eps      |   indicator  
    38 |      760 |      1 |  0.000000E+00 |  0.000000E+00 |  3.200000E+01 |         ideal
    39 |      780 |      1 |  0.000000E+00 |  0.000000E+00 |  3.0000000000 |         ideal
    40 |      800 |      2 |  0.000000E+00 |  0.000000E+00 |  1.0000000000 |         ideal
    41 |      820 |      2 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    42 |      840 |      2 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    43 |      860 |      3 |  0.000000E+00 |  0.000000E+00 |  1.2166666667 |         nadir
    44 |      880 |      2 |  0.000000E+00 |  0.000000E+00 |  2.0000000000 |         ideal
    45 |      900 |      6 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    46 |      920 |      2 |  0.000000E+00 |  0.000000E+00 |  0.3666666667 |         ideal
    47 |      940 |      2 |  0.000000E+00 |  0.000000E+00 |  0.1666666667 |         ideal
    48 |      960 |      2 |  0.000000E+00 |  0.000000E+00 |  0.5000000000 |         ideal
    49 |      980 |      4 |  0.000000E+00 |  0.000000E+00 |  0.5000000000 |         ideal
    50 |     1000 |      6 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    51 |     1020 |      3 |  0.000000E+00 |  0.000000E+00 |  0.4205330701 |         nadir
    52 |     1040 |      3 |  0.000000E+00 |  0.000000E+00 |  1.5000000000 |         nadir
    53 |     1060 |      6 |  0.000000E+00 |  0.000000E+00 |  2.3414634146 |         nadir
    54 |     1080 |      8 |  0.000000E+00 |  0.000000E+00 |  0.0695652174 |         nadir
    55 |     1100 |     12 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    56 |     1120 |     18 |  0.000000E+00 |  0.000000E+00 |  0.0360360360 |         nadir
    57 |     1140 |     20 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    58 |     1160 |     20 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    59 |     1180 |     16 |  0.000000E+00 |  0.000000E+00 |  0.0022522523 |             f
    60 |     1200 |     20 |  0.000000E+00 |  0.000000E+00 |  0.0018018018 |             f
    61 |     1220 |     20 |  0.000000E+00 |  0.000000E+00 |  0.0018018018 |             f
    62 |     1240 |     20 |  0.000000E+00 |  0.000000E+00 |  0.0072072072 |             f
    63 |     1260 |     20 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    64 |     1280 |     20 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    65 |     1300 |     20 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    66 |     1320 |     20 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    67 |     1340 |     20 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    68 |     1360 |     20 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    69 |     1380 |     20 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    70 |     1400 |     20 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    71 |     1420 |     20 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    72 |     1440 |     20 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    73 |     1460 |     20 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    74 |     1480 |     20 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    75 |     1500 |     20 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    76 |     1520 |     20 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    77 |     1540 |     20 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    78 |     1560 |     20 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    79 |     1580 |     20 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    80 |     1600 |     20 |  0.000000E+00 |  0.000000E+00 |  0.3333333333 |         ideal
    81 |     1620 |     20 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    82 |     1640 |     20 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    83 |     1660 |     20 |  0.000000E+00 |  0.000000E+00 |  1.5000000000 |         nadir
    84 |     1680 |     20 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    85 |     1700 |     20 |  0.000000E+00 |  0.000000E+00 |  1.3400000000 |         nadir
    86 |     1720 |     20 |  0.000000E+00 |  0.000000E+00 |  0.1764705882 |         nadir
    87 |     1740 |     20 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    88 |     1760 |     20 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    89 |     1780 |      9 |  0.000000E+00 |  0.000000E+00 |  0.2500000000 |         ideal
    90 |     1800 |      5 |  0.000000E+00 |  0.000000E+00 |  0.3333333333 |         nadir
    91 |     1820 |      7 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    92 |     1840 |      9 |  0.000000E+00 |  0.000000E+00 |  0.0378787879 |         ideal
    93 |     1860 |     15 |  0.000000E+00 |  0.000000E+00 |  0.0815433719 |             f
    94 |     1880 |     20 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    95 |     1900 |     20 |  0.000000E+00 |  0.000000E+00 |  0.0060606061 |             f
    96 |     1920 |     17 |  0.000000E+00 |  0.000000E+00 |  0.0197893078 |             f
    97 |     1940 |     20 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    98 |     1960 |     20 |  0.000000E+00 |  0.000000E+00 |  0.0049242424 |             f
    99 |     1980 |     20 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
   100 |     2000 |     20 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
   101 |     2020 |     20 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
   102 |     2040 |     20 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
   103 |     2060 |     20 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
   104 |     2080 |     20 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
   105 |     2100 |     20 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
   106 |     2120 |     20 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
   107 |     2140 |     20 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
   108 |     2160 |     20 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
   109 |     2180 |     20 |  0.000000E+00 |  0.000000E+00 |  0.0170117512 |             f
   110 |     2200 |     20 |  0.000000E+00 |  0.000000E+00 |  0.0034090909 |             f
   111 |     2220 |     20 |  0.000000E+00 |  0.000000E+00 |  0.0178673885 |             f
   112 |     2240 |     20 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
   113 |     2260 |     20 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
   114 |     2280 |     20 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
   115 |     2300 |     20 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
   116 |     2320 |     20 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
   117 |     2340 |     20 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
   118 |     2360 |     20 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
   119 |     2380 |     20 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
   120 |     2400 |     20 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
   121 |     2420 |     20 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
   122 |     2440 |     20 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
   123 |     2460 |     20 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
   124 |     2480 |     20 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f

============================================================
PARETO FRONT DEFINITION
============================================================
Pareto front extracted from res.opt:
  Solutions number: 20
  Chromosome dimension: (20, 58)
  Objectives dimension: (20, 3)
  All the solutions are non dominated (valid front)
============================================================

Shape of Pareto Front before NDS: (20, 3)
NDS ongoing
Pareto Front after NDS: (20, 3)
Combined Pareto solutions and objectives saved to CSV: /home/bazzo/Scrivania/fjsp_rescheduling/results/NSGA2/EX15/Pop_20/pareto_solutions_full.csv
Pareto solutions saved to JSON: /home/bazzo/Scrivania/fjsp_rescheduling/results/NSGA2/EX15/Pop_20/pareto_solutions.json
=============== PARETO FRONT ASSESSMENT ===============
Size of X: (20, 58), Size of F: (20, 3)
Found 20 total points, 5 unique points
==========================================================
UNIQUE INDIVIDUAL 1/5 (Original index: 0): [0 3 0 5 1 5 1 3 0 4 3 3 4 2 0 4 1 5 5 4 2 2 0 4 5 5 3 4 0 8 7 1 2 7 4 3 4
 8 0 3 8 6 9 2 9 1 0 5 0 5 3 2 6 9 4 6 7 5]
Value of the first objective: 429.0.
Value of the second objective: 9.0.
Value of the third objective: 21.0.

============================================================
SCHEDULE SUMMARY
============================================================
Op   Job  Machine  Start    End      Dur    Status      
------------------------------------------------------------
3    1    6        0.0      3.0      3.0    TO_PROCESS  
8    3    N/A      0.0      2.0      2.0    TO_PROCESS  
11   4    4        0.0      4.0      4.0    TO_PROCESS  
20   7    3        0.0      1.0      1.0    TO_PROCESS  
23   8    5        0.0      5.0      5.0    TO_PROCESS  
21   7    3        1.0      9.0      8.0    TO_PROCESS  
0    0    N/A      2.0      3.0      1.0    TO_PROCESS  
14   5    N/A      3.0      11.0     8.0    TO_PROCESS  
26   9    4        4.0      11.0     7.0    TO_PROCESS  
5    2    6        5.0      6.0      1.0    TO_PROCESS  
12   4    5        5.0      9.0      4.0    TO_PROCESS  
6    2    2        6.0      7.0      1.0    TO_PROCESS  
24   8    6        6.0      9.0      3.0    TO_PROCESS  
4    1    2        8.0      12.0     4.0    TO_PROCESS  
9    3    5        9.0      12.0     3.0    TO_PROCESS  
25   8    6        9.0      11.0     2.0    TO_PROCESS  
13   4    3        10.0     11.0     1.0    TO_PROCESS  
1    0    4        11.0     12.0     1.0    TO_PROCESS  
17   6    6        11.0     13.0     2.0    TO_PROCESS  
2    0    N/A      12.0     16.0     4.0    TO_PROCESS  
10   3    4        12.0     13.0     1.0    TO_PROCESS  
27   9    5        12.0     13.0     1.0    TO_PROCESS  
7    2    4        13.0     15.0     2.0    TO_PROCESS  
15   5    5        13.0     18.0     5.0    TO_PROCESS  
18   6    6        13.0     16.0     3.0    TO_PROCESS  
28   9    N/A      16.0     17.0     1.0    TO_PROCESS  
22   7    N/A      17.0     21.0     4.0    TO_PROCESS  
16   5    2        18.0     20.0     2.0    TO_PROCESS  
19   6    5        18.0     19.0     1.0    TO_PROCESS  

------------------------------------------------------------
PER-MACHINE SCHEDULE:
------------------------------------------------------------
Machine 0: 8(0-2) → 0(2-3) → 14(3-11) → 2(12-16) → 28(16-17) → 22(17-21)
Machine 2: 6(6-7) → 4(8-12) → 16(18-20)
Machine 3: 20(0-1) → 21(1-9) → 13(10-11)
Machine 4: 11(0-4) → 26(4-11) → 1(11-12) → 10(12-13) → 7(13-15)
Machine 5: 23(0-5) → 12(5-9) → 9(9-12) → 27(12-13) → 15(13-18) → 19(18-19)
Machine 6: 3(0-3) → 5(5-6) → 24(6-9) → 25(9-11) → 17(11-13) → 18(13-16)

Makespan: 21.0
============================================================

Set parameter Username
Academic license - for non-commercial use only - expires 2026-10-10
Set parameter TimeLimit to value 1800
Set parameter Presolve to value 2
Set parameter MIPFocus to value 3
Set parameter Heuristics to value 0.1
Set parameter ImproveStartGap to value 0.5
Set parameter Presolve to value 2
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (linux64 - "Ubuntu 22.04.5 LTS")

CPU model: Intel(R) Xeon(R) W-2145 CPU @ 3.70GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 8 physical cores, 16 logical processors, using up to 16 threads

Non-default parameters:
TimeLimit  1800
Heuristics  0.1
MIPFocus  3
Presolve  2
ImproveStartGap  0.5

Optimize a model with 12034 rows, 1309 columns and 58945 nonzeros
Model fingerprint: 0x53e7c49d
Model has 10 quadratic constraints
Variable types: 10 continuous, 1299 integer (1228 binary)
Coefficient statistics:
  Matrix range     [5e-01, 5e+02]
  QMatrix range    [1e+00, 1e+00]
  QLMatrix range   [1e+00, 1e+00]
  Objective range  [1e+00, 1e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+03]
Presolve removed 3029 rows and 270 columns
Presolve time: 0.20s
Presolved: 9035 rows, 1040 columns, 73107 nonzeros
Presolved model has 10 bilinear constraint(s)

Solving non-convex MIQCP

Variable types: 11 continuous, 1029 integer (989 binary)
Root relaxation presolve removed 10 rows and 2 columns
Root relaxation presolved: 9025 rows, 1038 columns, 73087 nonzeros


Root relaxation: objective 1.000000e+00, 96 iterations, 0.03 seconds (0.03 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0    1.00000    0    9          -    1.00000      -     -    0s
H    0     0                     281.0000000    1.00000   100%     -    0s
H    0     0                     268.0000000    1.00000   100%     -    0s
H    0     0                     169.0000000    1.00000  99.4%     -    0s
H    0     0                     168.0000000    1.00000  99.4%     -    0s
H    0     0                     125.0000000    2.00000  98.4%     -    0s
     0     0   99.69161    0   21  125.00000   99.69161  20.2%     -    0s

Resetting heuristic parameters to focus on improving solution
(using Heuristics=0.5 and RINS=10)...

     0     0   99.69161    0   14  125.00000   99.69161  20.2%     -    1s
H    0     0                     114.0000000   99.69161  12.6%     -    1s
     0     0   99.69161    0   44  114.00000   99.69161  12.6%     -    1s
H    0     0                     110.0000000   99.69161  9.37%     -    1s
     0     0  100.00000    0   31  110.00000  100.00000  9.09%     -    1s
     0     2  100.00000    0   15  110.00000  100.00000  9.09%     -    2s
     1     4  100.00000    1   15  110.00000  100.00000  9.09%   3.0    2s
   853   449  102.00000   21   24  110.00000  101.00000  8.18%  22.6    5s
H 1388   617                     107.0000000  101.00000  5.61%  25.0    5s
  3075  1210  102.15625   20   21  107.00000  102.00000  4.67%  30.2   10s
  5057  1537  102.14237   15   40  107.00000  102.00000  4.67%  34.0   15s
  7482  1687 infeasible   17       107.00000  103.00000  3.74%  33.9   20s
  9726  1727 infeasible   21       107.00000  103.00000  3.74%  34.8   25s
 12371  1270 infeasible   21       107.00000  104.00000  2.80%  33.6   30s
 14712   653 infeasible   18       107.00000  105.00000  1.87%  32.9   35s
*16666   192              20     106.0000000  106.00000  0.00%  31.1   38s

Cutting planes:
  Learned: 7
  Gomory: 41
  Lift-and-project: 11
  Cover: 391
  Implied bound: 71
  Clique: 1
  MIR: 151
  Mixing: 9
  StrongCG: 359
  Flow cover: 787
  GUB cover: 1
  Inf proof: 69
  Zero half: 1005
  RLT: 324
  Relax-and-lift: 417
  PSD: 5

Explored 16817 nodes (521009 simplex iterations) in 38.88 seconds (46.34 work units)
Thread count was 16 (of 16 available processors)

Solution count 9: 106 107 110 ... 281

Optimal solution found (tolerance 1.00e-04)
Best objective 1.060000000000e+02, best bound 1.060000000000e+02, gap 0.0000%

User-callback calls 35605, time in user-callback 0.04 sec

=== SOLUTION ===
Cmax: 21.0

Operations:
 - Operation 0: start=2.0, end=3.0, Machine 0
 - Operation 1: start=3.0, end=4.0, Machine 5
 - Operation 2: start=4.0, end=8.0, Machine 0
 - Operation 3: start=-0.0, end=3.0, Machine 6
 - Operation 4: start=8.0, end=10.0, Machine 0
 - Operation 5: start=5.0, end=6.0, Machine 6
 - Operation 6: start=6.0, end=7.0, Machine 2
 - Operation 7: start=8.0, end=10.0, Machine 4
 - Operation 8: start=-0.0, end=2.0, Machine 0
 - Operation 9: start=9.0, end=10.0, Machine 3
 - Operation 10: start=11.0, end=12.0, Machine 0
 - Operation 11: start=-0.0, end=3.0, Machine 5
 - Operation 12: start=5.0, end=9.0, Machine 5
 - Operation 13: start=10.0, end=11.0, Machine 3
 - Operation 14: start=-0.0, end=4.0, Machine 2
 - Operation 15: start=5.0, end=6.0, Machine 2
 - Operation 16: start=7.0, end=9.0, Machine 2
 - Operation 17: start=3.0, end=5.0, Machine 6
 - Operation 18: start=6.0, end=9.0, Machine 6
 - Operation 19: start=10.0, end=11.0, Machine 5
 - Operation 20: start=-0.0, end=1.0, Machine 3
 - Operation 21: start=1.0, end=9.0, Machine 3
 - Operation 22: start=10.0, end=13.0, Machine 4
 - Operation 23: start=11.0, end=16.0, Machine 5
 - Operation 24: start=16.0, end=19.0, Machine 6
 - Operation 25: start=19.0, end=21.0, Machine 6
 - Operation 26: start=1.0, end=8.0, Machine 4
 - Operation 27: start=9.0, end=10.0, Machine 5
 - Operation 28: start=10.0, end=11.0, Machine 0

[DEBUG]
TRUE makespan from C[i]: 21.0
Model cmax: 21.0

 Objective values: cmax 21.0, quadratric delay 106.0, machine assignments 9

 Machine Assignments (X[i,k]=1):
   Operation 0 → Machine 0
   Operation 1 → Machine 5
   Operation 2 → Machine 0
   Operation 3 → Machine 6
   Operation 4 → Machine 0
   Operation 5 → Machine 6
   Operation 6 → Machine 2
   Operation 7 → Machine 4
   Operation 8 → Machine 0
   Operation 9 → Machine 3
   Operation 10 → Machine 0
   Operation 11 → Machine 5
   Operation 12 → Machine 5
   Operation 13 → Machine 3
   Operation 14 → Machine 2
   Operation 15 → Machine 2
   Operation 16 → Machine 2
   Operation 17 → Machine 6
   Operation 18 → Machine 6
   Operation 19 → Machine 5
   Operation 20 → Machine 3
   Operation 21 → Machine 3
   Operation 22 → Machine 4
   Operation 23 → Machine 5
   Operation 24 → Machine 6
   Operation 25 → Machine 6
   Operation 26 → Machine 4
   Operation 27 → Machine 5
   Operation 28 → Machine 0

 Machine Assignments (X_old[i,k]=1):
   Operation 0 → Machine 0
   Operation 1 → Machine 4
   Operation 2 → Machine 0
   Operation 3 → Machine 6
   Operation 4 → Machine 0
   Operation 5 → Machine 6
   Operation 6 → Machine 2
   Operation 7 → Machine 1
   Operation 8 → Machine 0
   Operation 9 → Machine 5
   Operation 10 → Machine 4
   Operation 11 → Machine 1
   Operation 12 → Machine 4
   Operation 13 → Machine 3
   Operation 14 → Machine 2
   Operation 15 → Machine 2
   Operation 16 → Machine 2
   Operation 17 → Machine 6
   Operation 18 → Machine 6
   Operation 19 → Machine 5
   Operation 20 → Machine 3
   Operation 21 → Machine 3
   Operation 22 → Machine 1
   Operation 23 → Machine 5
   Operation 24 → Machine 1
   Operation 25 → Machine 6
   Operation 26 → Machine 1
   Operation 27 → Machine 5
   Operation 28 → Machine 0
Set parameter TimeLimit to value 1800
Set parameter Presolve to value 2
Set parameter MIPFocus to value 3
Set parameter Heuristics to value 0.1
Set parameter ImproveStartGap to value 0.5
Set parameter Presolve to value 2
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (linux64 - "Ubuntu 22.04.5 LTS")

CPU model: Intel(R) Xeon(R) W-2145 CPU @ 3.70GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 8 physical cores, 16 logical processors, using up to 16 threads

Non-default parameters:
TimeLimit  1800
Heuristics  0.1
MIPFocus  3
Presolve  2
ImproveStartGap  0.5

Optimize a model with 12034 rows, 1309 columns and 58945 nonzeros
Model fingerprint: 0xe2182ab9
Model has 10 quadratic constraints
Variable types: 10 continuous, 1299 integer (1228 binary)
Coefficient statistics:
  Matrix range     [5e-01, 5e+02]
  QMatrix range    [1e+00, 1e+00]
  QLMatrix range   [1e+00, 1e+00]
  Objective range  [1e+00, 1e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+03]
Presolve removed 2862 rows and 102 columns
Presolve time: 0.21s
Presolved: 9202 rows, 1208 columns, 73620 nonzeros
Presolved model has 10 bilinear constraint(s)

Solving non-convex MIQCP

Variable types: 11 continuous, 1197 integer (1156 binary)
Root relaxation presolve removed 9 rows and 1 columns
Root relaxation presolved: 9193 rows, 1207 columns, 73611 nonzeros


Root relaxation: objective 5.000000e+00, 295 iterations, 0.04 seconds (0.05 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0    5.00000    0   12          -    5.00000      -     -    0s
H    0     0                       5.0000000    5.00000  0.00%     -    0s

Cutting planes:
  Gomory: 3
  Lift-and-project: 1
  Cover: 3
  MIR: 4
  StrongCG: 4
  Flow cover: 10
  Zero half: 2
  RLT: 1
  Relax-and-lift: 2

Explored 1 nodes (503 simplex iterations) in 0.56 seconds (0.70 work units)
Thread count was 16 (of 16 available processors)

Solution count 1: 5 

Optimal solution found (tolerance 1.00e-04)
Best objective 5.000000000000e+00, best bound 5.000000000000e+00, gap 0.0000%

User-callback calls 780, time in user-callback 0.00 sec

=== SOLUTION ===
Cmax: 21.0

Operations:
 - Operation 0: start=2.0, end=3.0, Machine 0
 - Operation 1: start=3.0, end=4.0, Machine 4
 - Operation 2: start=17.0, end=21.0, Machine 0
 - Operation 3: start=-0.0, end=3.0, Machine 6
 - Operation 4: start=8.0, end=10.0, Machine 0
 - Operation 5: start=5.0, end=6.0, Machine 6
 - Operation 6: start=6.0, end=7.0, Machine 2
 - Operation 7: start=7.0, end=9.0, Machine 4
 - Operation 8: start=-0.0, end=2.0, Machine 0
 - Operation 9: start=16.0, end=19.0, Machine 5
 - Operation 10: start=20.0, end=21.0, Machine 4
 - Operation 11: start=5.0, end=8.0, Machine 5
 - Operation 12: start=9.0, end=15.0, Machine 4
 - Operation 13: start=17.0, end=18.0, Machine 3
 - Operation 14: start=-0.0, end=4.0, Machine 2
 - Operation 15: start=5.0, end=6.0, Machine 2
 - Operation 16: start=7.0, end=9.0, Machine 2
 - Operation 17: start=3.0, end=5.0, Machine 6
 - Operation 18: start=9.0, end=12.0, Machine 6
 - Operation 19: start=15.0, end=16.0, Machine 5
 - Operation 20: start=-0.0, end=1.0, Machine 3
 - Operation 21: start=1.0, end=9.0, Machine 3
 - Operation 22: start=9.0, end=17.0, Machine 3
 - Operation 23: start=-0.0, end=5.0, Machine 5
 - Operation 24: start=6.0, end=9.0, Machine 6
 - Operation 25: start=14.0, end=16.0, Machine 6
 - Operation 26: start=8.0, end=14.0, Machine 5
 - Operation 27: start=14.0, end=15.0, Machine 5
 - Operation 28: start=15.0, end=16.0, Machine 0

[DEBUG]
TRUE makespan from C[i]: 21.0
Model cmax: 21.0

 Objective values: cmax 21.0, quadratric delay 429.0, machine assignments 5

 Machine Assignments (X[i,k]=1):
   Operation 0 → Machine 0
   Operation 1 → Machine 4
   Operation 2 → Machine 0
   Operation 3 → Machine 6
   Operation 4 → Machine 0
   Operation 5 → Machine 6
   Operation 6 → Machine 2
   Operation 7 → Machine 4
   Operation 8 → Machine 0
   Operation 9 → Machine 5
   Operation 10 → Machine 4
   Operation 11 → Machine 5
   Operation 12 → Machine 4
   Operation 13 → Machine 3
   Operation 14 → Machine 2
   Operation 15 → Machine 2
   Operation 16 → Machine 2
   Operation 17 → Machine 6
   Operation 18 → Machine 6
   Operation 19 → Machine 5
   Operation 20 → Machine 3
   Operation 21 → Machine 3
   Operation 22 → Machine 3
   Operation 23 → Machine 5
   Operation 24 → Machine 6
